game_id,game_date,principal_team,opponent_team,home_team,principal_score,opponent_score,delta_field_goals_pct,delta_avg_off_rebounds,delta_avg_free_throws_att,delta_avg_free_throws_pct,delta_avg_turnovers,delta_win_pct,game_result
e6dc5782-55f9-475e-a5ae-ca89d51b3971,11/17/2015,Rice,San Francisco,FALSE,54,80,-0.014,-7,-17,0.118,-6,-1,FALSE
5a4e9d55-cb1f-4a85-8df4-72e5837720be,11/17/2015,Albany,Boston University,FALSE,64,69,-0.031,5,1,0.017,5,0,FALSE
c009e8d4-0d67-4d13-a9db-974a340d42e2,11/18/2015,Harvard,Massachusetts,TRUE,63,69,-0.067,2,-31,-0.098,2,-1,FALSE
55a3e439-a9b7-4146-a617-2b65d9f0f038,11/18/2015,Georgetown,Maryland,FALSE,71,75,-0.117,-2,23,-0.059,3,-1,FALSE
9b4c1e1a-074d-4fe1-976d-f14bf554584b,11/18/2015,Milwaukee,Notre Dame,FALSE,78,86,0.008333333,-8.666666667,-4.333333333,0.044,7,0,FALSE
9db8799f-4558-415b-acf3-e9400398f1a5,11/18/2015,Western Illinois,Illinois-Chicago,TRUE,84,57,0.172,-4,-6,0.056,0,1,TRUE
8fb909ae-2485-4c62-ad26-6c25099caafe,11/18/2015,Seattle,Eastern Washington,FALSE,70,76,-0.158,4,3.5,-0.159,5.5,0,FALSE
dd2b05ea-655b-4907-a7c1-ba00f162f7ea,11/18/2015,Syracuse,St. Bonaventure,TRUE,79,66,-0.024,1,-13,0.073,4,0,TRUE
7679cad2-1ce1-49cc-a26e-a1d922f88b35,11/18/2015,Nebraska,Villanova,FALSE,63,87,0.08,-3,9,0.055,3,0,FALSE
497ee26d-e2dd-41fd-8108-fa5bcabc34ed,11/18/2015,Ohio State,Grambling State,TRUE,82,55,0.138,5,9,0.449,3,1,TRUE
d9a01ee5-6360-4373-8baf-45834a67a5cf,11/18/2015,Furman,Appalachian State,FALSE,79,70,-0.023,4,9,-0.052,2,0,TRUE
d16c2845-2df9-4e93-8bfc-cf505c7d4310,11/18/2015,Kentucky,Duke,FALSE,74,63,0.0175,-1.5,-8.5,-0.032,9,0,TRUE
