season,School,team_id,Games,SRS,SOS,win_pct,pts_avg,opp_pts_avg,fg_pct,allow_fg_pct,ft_pct,allow_ft_att_avg,poss_avg,off_rebs_avg,allow_off_rebs_avg,def_rebs_avg,allow_def_rebs_avg,to_avg,steal_avg,off_rating,ft_att_avg
2000,DePaul,ee09e6ad-3872-4745-bbb9-ebbd5c6f8318,30,5.34,8.02,0.4,72,73,0.439,NULL,0.676,NULL,81.52,13,NULL,24,NULL,14,5,88.3218842001963,22
2000,Detroit Mercy,1b78e7f6-f25c-4921-98e2-9bc565f8dfb4,37,7.83,2.44,0.676,70,64,0.452,NULL,0.681,NULL,74.767567567567,12,NULL,22,NULL,12,5,93.6234817813772,19
2000,Drake,aed211c3-23a4-4188-ad70-22c6eba7d765,28,0.83,-0.21,0.429,70,69,0.461,NULL,0.762,NULL,73.35,8,NULL,24,NULL,13,4,95.4328561690525,20
2000,Drexel,f2d01b77-0f5d-4574-9e49-2a3eaf822e44,27,-4.06,-5.43,0.556,75,73,0.475,NULL,0.682,NULL,81.888888888888,11,NULL,27,NULL,16,5,91.5875169606523,22
2000,"Duke ",faeb1160-5d15-4f26-99fc-c441cf21fc7f,39,32.18,11.98,0.897,90,70,0.481,NULL,0.696,NULL,88.764102564102,13,NULL,24,NULL,13,10,101.39233924548,25
2000,Duquesne,fea46ac5-6dad-43cd-a770-75554dbcc118,30,-3.14,3.96,0.3,70,77,0.443,NULL,0.698,NULL,81.66,11,NULL,21,NULL,16,6,85.721283370071,23
2000,East Carolina,a601205f-3bfe-4052-ac0b-b8f18cf3efd3,28,-4.24,-3.16,0.5,72,73,0.411,NULL,0.725,NULL,80.335714285714,10,NULL,25,NULL,13,5,89.6238997065887,23
2000,East Tennessee State,d750d88f-f7b8-4bc3-a5f6-36e7a67ec93e,28,-3.04,-6.12,0.643,72,65,0.444,NULL,0.616,NULL,84.9,14,NULL,24,NULL,16,9,84.8056537102473,24
2000,"Eastern Illinois ",23fec4e7-108f-4569-85d1-bef2f794e925,31,0.99,-2.46,0.677,82,78,0.474,NULL,0.775,NULL,84.451612903225,11,NULL,24,NULL,13,6,97.0970206264333,20
2000,Eastern Kentucky,e48e3dd5-721c-4d96-8ff4-790fe2597bfd,26,-13.6,-2.73,0.269,72,80,0.42,NULL,0.632,NULL,88.407692307692,14,NULL,24,NULL,17,6,81.4408770555993,22
2000,Eastern Michigan,2ed86226-3fff-4083-90fa-6b02307e6f73,28,-11.4,-0.76,0.107,59,70,0.423,NULL,0.64,NULL,73.314285714285,9,NULL,21,NULL,15,4,80.4754481683562,19
2000,Eastern Washington,54df21af-8f65-42fc-bc01-8bf750856d70,28,0.05,-0.76,0.607,71,68,0.481,NULL,0.73,NULL,77.335714285714,8,NULL,19,NULL,16,7,91.8075182414338,25
2000,Elon,8accb91e-6086-41b3-a420-7a82fa442365,29,-17.92,-9.17,0.31,64,71,0.439,NULL,0.689,NULL,76.006896551724,10,NULL,20,NULL,16,6,84.202885400599,18
2000,Evansville,d8217105-e9c2-4267-9538-3aaeea1ae167,30,-1.68,1.77,0.467,68,71,0.484,NULL,0.702,NULL,73.5,7,NULL,23,NULL,15,4,92.5170068027211,19
2000,Fairfield,a381465b-4530-4a00-a50c-5253cd7695a0,28,-6.43,-3.51,0.429,73,76,0.436,NULL,0.723,NULL,85.321428571428,13,NULL,24,NULL,16,8,85.5588112180834,26
